[1/4] loading table of contents (cached under C:\Users\yairz\Downloads\FutureOS-master\FutureOS-master\Sfarim\tools\output\_cache) ...
[2/4] loading Hebrew text index (books.json, cached) ...
      6211 titles have a Hebrew version available
[3/4] building/verifying category tree (idempotent) ...
[4/4] 6211 Hebrew books matched to the TOC; 0 already imported, 6211 to fetch now
  4200/6211 books | 1022527 segments | 625s elapsed | ETA 5.0min
  4225/6211 books | 1027891 segments | 630s elapsed | ETA 4.9min
  4250/6211 books | 1042362 segments | 633s elapsed | ETA 4.9min
  4275/6211 books | 1054921 segments | 635s elapsed | ETA 4.8min
  4300/6211 books | 1058425 segments | 636s elapsed | ETA 4.7min
  4325/6211 books | 1059665 segments | 637s elapsed | ETA 4.6min
  4350/6211 books | 1062900 segments | 638s elapsed | ETA 4.5min
  4375/6211 books | 1076951 segments | 643s elapsed | ETA 4.5min
  4400/6211 books | 1113355 segments | 648s elapsed | ETA 4.4min
  4425/6211 books | 1148060 segments | 651s elapsed | ETA 4.4min
  4450/6211 books | 1186819 segments | 655s elapsed | ETA 4.3min
  ERROR importing 'Rashi on Yevamot': 
  ERROR importing 'Rashi on Shabbat': 
  4475/6211 books | 1230194 segments | 664s elapsed | ETA 4.3min
  ERROR importing 'Responsa of Rema': 
  4500/6211 books | 1247514 segments | 677s elapsed | ETA 4.3min
  4525/6211 books | 1251347 segments | 682s elapsed | ETA 4.2min
  4550/6211 books | 1264809 segments | 691s elapsed | ETA 4.2min
  4575/6211 books | 1271001 segments | 695s elapsed | ETA 4.1min
  4600/6211 books | 1281643 segments | 699s elapsed | ETA 4.1min
  4625/6211 books | 1286626 segments | 706s elapsed | ETA 4.0min
  4650/6211 books | 1290677 segments | 720s elapsed | ETA 4.0min
  4675/6211 books | 1291744 segments | 726s elapsed | ETA 4.0min
  4700/6211 books | 1291986 segments | 729s elapsed | ETA 3.9min
  4725/6211 books | 1292174 segments | 732s elapsed | ETA 3.8min
  4750/6211 books | 1293423 segments | 737s elapsed | ETA 3.8min
  4775/6211 books | 1294025 segments | 739s elapsed | ETA 3.7min
  4800/6211 books | 1294701 segments | 740s elapsed | ETA 3.6min
  4825/6211 books | 1296229 segments | 742s elapsed | ETA 3.6min
  4850/6211 books | 1298697 segments | 743s elapsed | ETA 3.5min
  ERROR importing 'Shabbat': database or disk is full
  ERROR importing 'Sheiltot d'Rav Achai Gaon': database or disk is full
  ERROR importing 'Shevuot': database or disk is full
  4875/6211 books | 1304616 segments | 751s elapsed | ETA 3.4min
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Kiddushin': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Makkot': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Moed Katan': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Ketubot': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Pesachim': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Gittin': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Nazir': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Shekalim': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Nedarim': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Shabbat': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Rosh Hashanah': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Taanit': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Sukkah': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Sanhedrin': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Sotah': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Yoma': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Yevamot': database or disk is full
  ERROR importing 'Sheyarei Korban on Jerusalem Talmud Shevuot': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Avodah Zarah': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Bava Batra': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Bava Kamma': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Beitzah': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Berakhot': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Bava Metzia': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Chullin': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Eruvin': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Gittin': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Megillah': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Moed Katan': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Ketubot': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Menachot': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Makkot': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Kiddushin': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Rosh Hashanah': database or disk is full
  ERROR importing 'Shiltei HaGiborim on Pesachim': database or disk is full
BUILD_EXIT_CODE=1
/usr/bin/bash: line 3: /c/Users/yairz/AppData/Local/Microsoft/WindowsApps/python: Permission denied
ADD_ROOT_CATEGORY_EXIT_CODE=126
Python was not found; run without arguments to install from the Microsoft Store, or disable this shortcut from Settings > Apps > Advanced app settings > App execution aliases.
ADD_FULLTEXT_SEARCH_EXIT_CODE=49
